t,i,j,k,v,q
2022,528,36,970610,19.09,        0.025
2022,528,40,970610,0.661,        0.002
2022,528,56,970610,0.045,           NA
2022,528,76,970610,4.212,        0.001
2022,528,100,970610,0.003,           NA
2022,528,124,970610,159.548,        0.066
2022,528,156,970610,4.908,        0.009
2022,528,191,970610,0.002,           NA
2022,528,196,970610,0.001,           NA
2022,528,203,970610,0.009,           NA
2022,528,208,970610,0.016,           NA
2022,528,233,970610,0.002,           NA
2022,528,246,970610,0.009,           NA
2022,528,251,970610,11.88,        0.030
2022,528,276,970610,9.483,        0.619
2022,528,300,970610,0.003,           NA
2022,528,344,970610,3658.317,        0.042
2022,528,348,970610,0.007,           NA
2022,528,372,970610,0.015,           NA
2022,528,376,970610,9.846,           NA
2022,528,380,970610,5.235,        0.010
2022,528,392,970610,11.768,        0.011
2022,528,410,970610,13.358,        0.025
2022,528,440,970610,0.003,           NA
2022,528,442,970610,0.076,        0.001
2022,528,458,970610,1.264,        0.009
2022,528,470,970610,0.001,           NA
2022,528,490,970610,57.404,        0.035
2022,528,554,970610,6.287,           NA
2022,528,579,970610,7.717,        0.017
2022,528,591,970610,21.482,        0.120
2022,528,616,970610,0.032,           NA
2022,528,620,970610,0.003,           NA
2022,528,642,970610,0.005,           NA
2022,528,682,970610,4.433,        0.001
2022,528,702,970610,7.396,        0.003
2022,528,703,970610,0.002,           NA
2022,528,705,970610,0.001,           NA
2022,528,710,970610,18.085,        3.367
2022,528,724,970610,1.143,        0.335
2022,528,752,970610,0.018,           NA
2022,528,757,970610,550.019,        0.677
2022,528,784,970610,13.651,        0.442
2022,528,792,970610,1.55,        0.003
2022,528,826,970610,1003.099,        3.918
2022,528,842,970610,7588.189,       19.054
