t,i,j,k,v,q
2022,392,36,970610,374.264,        0.027
2022,392,40,970610,7.851,        0.007
2022,392,56,970610,17.026,        0.014
2022,392,100,970610,9.434,        0.002
2022,392,124,970610,54.154,           NA
2022,392,156,970610,258.857,        0.167
2022,392,203,970610,23.388,        0.015
2022,392,208,970610,0.398,        0.004
2022,392,233,970610,4.195,        0.032
2022,392,246,970610,1.305,        0.004
2022,392,251,970610,263.104,        0.132
2022,392,276,970610,150.655,        0.101
2022,392,344,970610,3017.852,        0.006
2022,392,372,970610,15.539,        0.005
2022,392,380,970610,118.13,        0.079
2022,392,410,970610,181.171,        0.935
2022,392,528,970610,22.61,        0.048
2022,392,554,970610,8.81,        0.002
2022,392,579,970610,10.137,        0.006
2022,392,702,970610,29.42,        0.012
2022,392,710,970610,7.099,        0.020
2022,392,724,970610,655.58,        0.032
2022,392,752,970610,9.669,           NA
2022,392,757,970610,61.043,        0.042
2022,392,764,970610,655.937,        0.402
2022,392,784,970610,19.645,        0.032
2022,392,826,970610,454.767,        0.664
2022,392,842,970610,16288.115,        0.228
