t,i,j,k,v,q
2022,724,36,970610,67.05,        0.061
2022,724,40,970610,0.236,        0.001
2022,724,124,970610,10.775,        0.186
2022,724,156,970610,2.799,        0.001
2022,724,188,970610,1.309,           NA
2022,724,251,970610,100.873,        0.560
2022,724,276,970610,19.918,        0.079
2022,724,344,970610,1.509,           NA
2022,724,368,970610,0.23,           NA
2022,724,372,970610,1.421,        0.001
2022,724,376,970610,4.926,        0.007
2022,724,380,970610,0.202,        0.001
2022,724,446,970610,7.72,        0.001
2022,724,490,970610,22.49,        0.102
2022,724,504,970610,421.43,        1.850
2022,724,528,970610,20.323,        0.045
2022,724,579,970610,1.393,        0.008
2022,724,643,970610,0.46,           NA
2022,724,702,970610,2.633,           NA
2022,724,757,970610,100.704,        0.162
2022,724,784,970610,126.366,        0.500
2022,724,826,970610,682.836,        0.547
2022,724,842,970610,1383.197,        1.611
