t,i,j,k,v,q
2022,826,8,970610,9.861,        0.006
2022,826,31,970610,36.322,        0.001
2022,826,32,970610,180.151,        0.291
2022,826,36,970610,2783.47,        6.963
2022,826,40,970610,2445.964,        1.272
2022,826,48,970610,1261.697,        0.861
2022,826,56,970610,3123.879,        3.723
2022,826,60,970610,9.836,        0.003
2022,826,76,970610,9.604,        0.003
2022,826,100,970610,16.173,        0.010
2022,826,104,970610,2.418,        0.017
2022,826,124,970610,1067.048,        2.672
2022,826,136,970610,32.296,        0.006
2022,826,152,970610,77.39,        0.253
2022,826,156,970610,593.199,        0.735
2022,826,191,970610,6.437,        0.019
2022,826,196,970610,3.382,        0.008
2022,826,203,970610,138.919,        0.325
2022,826,208,970610,533.287,        0.478
2022,826,233,970610,4.991,        0.003
2022,826,246,970610,423.323,        0.102
2022,826,251,970610,35958.284,       10.195
2022,826,268,970610,3.653,        0.002
2022,826,276,970610,5600.728,        3.185
2022,826,292,970610,7.858,        0.028
2022,826,300,970610,67.291,        0.114
2022,826,344,970610,48526.99,        5.583
2022,826,348,970610,9.805,        0.010
2022,826,360,970610,1.602,        0.001
2022,826,372,970610,284.01,        0.809
2022,826,376,970610,128.304,        0.076
2022,826,380,970610,2277.597,        2.723
2022,826,392,970610,2970.195,        3.461
2022,826,400,970610,3.774,        0.001
2022,826,410,970610,1853.588,        0.202
2022,826,414,970610,78.163,        0.246
2022,826,422,970610,60.569,        0.006
2022,826,428,970610,2.465,        0.002
2022,826,440,970610,17.859,        0.006
2022,826,442,970610,17.812,        0.025
2022,826,446,970610,387.763,        0.171
2022,826,458,970610,1658.877,        0.560
2022,826,470,970610,153.774,        0.241
2022,826,490,970610,700.755,        0.928
2022,826,496,970610,3.451,        0.002
2022,826,504,970610,9.861,        0.002
2022,826,512,970610,4.715,        0.005
2022,826,516,970610,2.116,        0.001
2022,826,528,970610,36954.268,        8.580
2022,826,554,970610,465.297,        0.710
2022,826,558,970610,4.93,        0.002
2022,826,579,970610,146.802,        0.154
2022,826,585,970610,6.723,        0.002
2022,826,591,970610,5.902,        0.007
2022,826,616,970610,333.375,        0.173
2022,826,620,970610,284.162,        0.263
2022,826,634,970610,6918.549,        0.247
2022,826,642,970610,16.817,        0.028
2022,826,643,970610,29.151,        0.110
2022,826,682,970610,1570.932,        0.611
2022,826,688,970610,112.412,        0.001
2022,826,699,970610,327.995,        0.304
2022,826,702,970610,636.868,        1.852
2022,826,703,970610,18.806,        0.065
2022,826,704,970610,13.048,        0.028
2022,826,705,970610,30.732,        0.014
2022,826,710,970610,97.236,        5.795
2022,826,724,970610,1044.3,        1.160
2022,826,752,970610,341.743,        0.864
2022,826,757,970610,48769.705,        1.352
2022,826,764,970610,322.886,        8.572
2022,826,784,970610,3951.034,        1.902
2022,826,792,970610,174.624,        0.114
2022,826,800,970610,2.182,        0.005
2022,826,804,970610,4.97,        0.005
2022,826,842,970610,121961.021,      128.558
2022,826,860,970610,975.679,        0.029
2022,826,887,970610,2.514,        0.005
