t,i,j,k,v,q
2022,710,36,970690,74.827,        0.076
2022,710,40,970690,0.866,        0.011
2022,710,56,970610,0.003,           NA
2022,710,56,970690,6.407,        0.008
2022,710,72,970690,2.946,        0.098
2022,710,124,970610,0.895,           NA
2022,710,124,970690,0.332,        0.006
2022,710,208,970690,2.804,        0.004
2022,710,251,970610,7.596,        0.001
2022,710,251,970690,16.107,        0.050
2022,710,276,970690,0.572,        0.002
2022,710,372,970690,0.048,           NA
2022,710,376,970690,2.158,        0.040
2022,710,380,970610,8.538,        0.004
2022,710,480,970690,0.134,        0.060
2022,710,484,970690,19.284,        0.156
2022,710,516,970610,0.095,        0.006
2022,710,516,970690,0.314,        0.350
2022,710,528,970690,9.787,        0.133
2022,710,554,970690,0.006,           NA
2022,710,784,970690,2.179,        0.349
2022,710,826,970610,1.863,        0.113
2022,710,826,970690,81.097,        5.807
2022,710,842,970610,18.926,        0.080
2022,710,842,970690,184.235,        3.478
