t,i,j,k,v,q
2022,392,36,970610,374.264,        0.027
2022,392,36,970690,600.307,        2.055
2022,392,40,970610,7.851,        0.007
2022,392,40,970690,46.601,        0.653
2022,392,48,970690,1.951,        0.106
2022,392,56,970610,17.026,        0.014
2022,392,56,970690,102.958,        2.829
2022,392,100,970610,9.434,        0.002
2022,392,124,970610,54.154,           NA
2022,392,124,970690,6.517,        0.030
2022,392,152,970690,8.438,        0.003
2022,392,156,970610,258.857,        0.167
2022,392,156,970690,156.122,        1.586
2022,392,203,970610,23.388,        0.015
2022,392,203,970690,43.128,        0.096
2022,392,208,970610,0.398,        0.004
2022,392,208,970690,5.577,        0.033
2022,392,233,970610,4.195,        0.032
2022,392,233,970690,8.14,        0.135
2022,392,246,970610,1.305,        0.004
2022,392,246,970690,37.267,        0.126
2022,392,251,970610,263.104,        0.132
2022,392,251,970690,1118.197,       12.352
2022,392,276,970610,150.655,        0.101
2022,392,276,970690,223.957,        0.795
2022,392,344,970610,3017.852,        0.006
2022,392,344,970690,5455.542,        0.009
2022,392,348,970690,3.746,        0.012
2022,392,360,970690,0.069,        0.001
2022,392,372,970610,15.539,        0.005
2022,392,372,970690,11.705,        0.001
2022,392,376,970690,6.616,        0.003
2022,392,380,970610,118.13,        0.079
2022,392,380,970690,285.501,        0.301
2022,392,410,970610,181.171,        0.935
2022,392,410,970690,1515.708,       13.003
2022,392,428,970690,0.434,        0.001
2022,392,440,970690,1.095,        0.007
2022,392,442,970690,2.778,        0.031
2022,392,446,970690,190.583,        0.032
2022,392,458,970690,1.083,        0.011
2022,392,490,970690,26.723,        0.068
2022,392,528,970610,22.61,        0.048
2022,392,528,970690,82.733,        0.407
2022,392,554,970610,8.81,        0.002
2022,392,554,970690,22.761,           NA
2022,392,579,970610,10.137,        0.006
2022,392,579,970690,38.814,        0.095
2022,392,616,970690,10.228,        0.014
2022,392,620,970690,19.141,        0.160
2022,392,702,970610,29.42,        0.012
2022,392,702,970690,6.16,        0.031
2022,392,703,970690,2.313,        0.016
2022,392,704,970690,2.55,           NA
2022,392,705,970690,1.866,        0.033
2022,392,710,970610,7.099,        0.020
2022,392,710,970690,58.077,        0.166
2022,392,724,970610,655.58,        0.032
2022,392,724,970690,24.303,        0.111
2022,392,752,970610,9.669,           NA
2022,392,752,970690,46.661,        0.736
2022,392,757,970610,61.043,        0.042
2022,392,757,970690,15441.975,        1.807
2022,392,764,970610,655.937,        0.402
2022,392,764,970690,45.42,        0.029
2022,392,784,970610,19.645,        0.032
2022,392,784,970690,106.206,        0.450
2022,392,792,970690,0.318,        0.005
2022,392,826,970610,454.767,        0.664
2022,392,826,970690,2665.034,       37.240
2022,392,842,970610,16288.115,        0.228
2022,392,842,970690,9041.384,       50.262
