t,i,j,k,v,q
2022,208,36,970610,5.468,        0.010
2022,208,36,970690,36.073,        0.073
2022,208,40,970690,0.467,        0.007
2022,208,116,970690,105.66,       12.700
2022,208,124,970610,22.132,           NA
2022,208,124,970690,139.506,        0.395
2022,208,156,970610,121.487,        0.070
2022,208,156,970690,567.407,        2.399
2022,208,203,970690,9.561,        0.736
2022,208,233,970690,0.017,        0.001
2022,208,246,970690,1.075,        0.009
2022,208,251,970610,7.086,        0.044
2022,208,251,970690,54.031,        0.195
2022,208,276,970690,10.883,        0.063
2022,208,300,970690,0.786,        0.200
2022,208,304,970690,41.989,        0.750
2022,208,344,970610,865.527,        0.032
2022,208,344,970690,151.944,        0.154
2022,208,352,970690,3.479,        0.009
2022,208,376,970610,0.986,           NA
2022,208,376,970690,1.445,        0.112
2022,208,392,970690,14.384,        0.269
2022,208,410,970690,51.764,        0.074
2022,208,428,970690,0.528,        0.008
2022,208,440,970690,0.11,        0.001
2022,208,446,970690,39.04,        0.039
2022,208,490,970690,2.777,        0.006
2022,208,528,970610,3.435,        0.007
2022,208,554,970690,1.325,        0.002
2022,208,579,970610,33.095,        1.358
2022,208,579,970690,244.953,        3.942
2022,208,616,970690,21.026,        0.249
2022,208,620,970690,0.421,        0.033
2022,208,702,970610,1.198,        0.001
2022,208,702,970690,4.964,        0.004
2022,208,710,970690,3.107,        0.011
2022,208,724,970690,2.382,        0.078
2022,208,752,970690,4.681,        0.057
2022,208,757,970610,4.817,        0.021
2022,208,757,970690,190.002,        0.543
2022,208,784,970610,6.009,        0.013
2022,208,784,970690,133.45,        0.296
2022,208,826,970610,9156.815,        0.178
2022,208,826,970690,3938.936,        5.050
2022,208,842,970610,2483.131,        0.578
2022,208,842,970690,3506.361,       68.074
