t,i,j,k,v,q
2022,643,36,970690,12.324,           NA
2022,643,124,970610,3.425,           NA
2022,643,124,970690,23.988,           NA
2022,643,156,970610,30.088,        0.545
2022,643,156,970690,1873.197,        0.019
2022,643,233,970690,8.869,        0.004
2022,643,251,970690,0.48,        0.018
2022,643,276,970610,33.688,        0.061
2022,643,276,970690,276.598,        0.222
2022,643,372,970690,111.001,        0.135
2022,643,380,970690,14.59,        0.064
2022,643,392,970690,501.134,        0.075
2022,643,410,970690,1.324,           NA
2022,643,428,970690,27.768,        0.057
2022,643,470,970690,0.516,        0.013
2022,643,579,970610,0.544,        0.002
2022,643,579,970690,21.706,        0.010
2022,643,702,970690,189.584,        0.046
2022,643,703,970610,3.122,        0.001
2022,643,724,970690,53.317,        0.009
2022,643,752,970610,0.692,           NA
2022,643,752,970690,5.285,        0.084
2022,643,757,970610,63.662,        0.052
2022,643,757,970690,848.939,        0.113
2022,643,784,970610,13.323,        0.002
2022,643,784,970690,107.232,        0.201
2022,643,826,970610,250.853,        0.064
2022,643,826,970690,707.414,        0.073
2022,643,842,970610,230.937,        0.123
2022,643,842,970690,2458.547,        8.009
