t,i,j,k,v,q
2022,276,36,970610,185.8,        0.179
2022,276,36,970690,524.7,        0.847
2022,276,40,970610,312.707,        0.296
2022,276,40,970690,744.412,        4.088
2022,276,44,970690,5.642,        0.036
2022,276,48,970690,4.612,        0.001
2022,276,51,970690,124.007,        0.037
2022,276,56,970610,45.139,        0.142
2022,276,56,970690,281.344,        0.205
2022,276,76,970690,4.84,        0.123
2022,276,100,970610,1.136,        0.004
2022,276,108,970690,0.032,        0.017
2022,276,124,970610,151.304,        0.164
2022,276,124,970690,589.085,        0.381
2022,276,152,970610,3.815,           NA
2022,276,152,970690,9.354,        0.020
2022,276,156,970610,309.702,        0.114
2022,276,156,970690,679.786,       25.578
2022,276,191,970610,0.515,        0.001
2022,276,191,970690,8.74,        0.002
2022,276,196,970610,0.415,        0.001
2022,276,196,970690,5.197,        0.020
2022,276,203,970610,73.332,        0.112
2022,276,203,970690,300.722,        0.570
2022,276,208,970610,8.116,        0.024
2022,276,208,970690,68.764,        0.811
2022,276,233,970690,1.071,        0.004
2022,276,246,970610,21.184,        0.019
2022,276,246,970690,19.471,        0.116
2022,276,251,970610,286.591,        1.963
2022,276,251,970690,615.986,        1.343
2022,276,268,970610,5.476,        0.002
2022,276,268,970690,9.393,        0.054
2022,276,300,970610,3.584,        0.008
2022,276,300,970690,3.954,        0.005
2022,276,344,970610,862.406,        0.325
2022,276,344,970690,1932.708,        0.579
2022,276,348,970610,12.711,        0.051
2022,276,348,970690,38.416,        0.122
2022,276,352,970690,1.507,        0.005
2022,276,360,970690,7.724,        0.108
2022,276,372,970610,8.324,        0.017
2022,276,372,970690,36.757,        0.013
2022,276,376,970610,468.187,        0.189
2022,276,376,970690,17.455,        0.048
2022,276,380,970610,20.605,        0.023
2022,276,380,970690,86.509,        0.153
2022,276,392,970610,1425.261,        0.095
2022,276,392,970690,980.424,        0.527
2022,276,400,970690,15.506,        0.048
2022,276,410,970610,63.168,        0.002
2022,276,410,970690,216.81,        3.513
2022,276,414,970610,30.17,        0.004
2022,276,414,970690,23.462,        0.031
2022,276,422,970610,0.334,           NA
2022,276,422,970690,31.358,        0.791
2022,276,440,970610,0.437,        0.001
2022,276,440,970690,0.951,        0.006
2022,276,442,970610,1.008,        0.003
2022,276,442,970690,19.661,        0.022
2022,276,446,970610,8.257,        0.006
2022,276,446,970690,120.471,        0.499
2022,276,458,970690,18.114,        0.028
2022,276,484,970610,1.179,        0.002
2022,276,484,970690,6.534,        0.028
2022,276,490,970610,287.24,        0.478
2022,276,490,970690,723.646,        0.418
2022,276,496,970690,5.668,        0.010
2022,276,516,970690,1.798,        0.004
2022,276,528,970610,405.418,        0.313
2022,276,528,970690,524.023,        0.727
2022,276,554,970610,0.91,        0.001
2022,276,554,970690,33.696,        0.059
2022,276,579,970610,403.651,        0.074
2022,276,579,970690,57.088,        0.420
2022,276,604,970690,10.362,        0.001
2022,276,616,970610,297.244,        0.229
2022,276,616,970690,57.99,        0.211
2022,276,620,970610,80.866,        0.034
2022,276,620,970690,21.276,        0.012
2022,276,634,970690,3.496,        0.012
2022,276,642,970610,4.742,        0.008
2022,276,643,970610,59.266,        0.022
2022,276,643,970690,388.781,        0.995
2022,276,682,970690,38.973,        0.008
2022,276,699,970610,3.799,        0.005
2022,276,699,970690,56.148,        0.186
2022,276,702,970610,8.038,        0.126
2022,276,702,970690,708.44,        0.174
2022,276,703,970610,4.173,        0.002
2022,276,703,970690,5.643,        0.045
2022,276,704,970690,6.687,        0.003
2022,276,705,970690,0.415,        0.005
2022,276,710,970690,14.536,        0.019
2022,276,724,970610,124.289,        0.112
2022,276,724,970690,52.201,        0.051
2022,276,752,970610,7.15,        0.006
2022,276,752,970690,20.88,        0.058
2022,276,757,970610,2268.739,        2.274
2022,276,757,970690,4089.774,       19.524
2022,276,764,970690,28.08,        0.466
2022,276,784,970610,1574.85,        0.076
2022,276,784,970690,482.962,        0.310
2022,276,792,970610,1.811,        0.001
2022,276,792,970690,181.28,      102.911
2022,276,804,970610,19.415,        0.074
2022,276,804,970690,5.213,        0.007
2022,276,826,970610,3798.325,        1.565
2022,276,826,970690,5658.511,       30.667
2022,276,842,970610,8295.968,        5.040
2022,276,842,970690,12880.636,       55.413
