t,i,j,k,v,q
2022,251,20,970610,5.506,        0.080
2022,251,31,970690,2.995,        0.067
2022,251,36,970610,425.822,        0.319
2022,251,36,970690,1173.277,       22.756
2022,251,40,970610,137.879,        0.080
2022,251,40,970690,226.267,        0.172
2022,251,44,970690,6.217,        0.028
2022,251,48,970690,20.72,        0.020
2022,251,52,970690,1.008,        0.002
2022,251,56,970610,667.715,        0.916
2022,251,56,970690,1156.275,        3.942
2022,251,76,970610,1.268,        0.044
2022,251,76,970690,43.948,       10.294
2022,251,96,970690,93.458,        0.026
2022,251,100,970610,3.167,        0.007
2022,251,112,970690,55.917,        0.666
2022,251,116,970690,0.131,        0.005
2022,251,124,970610,138.07,        0.092
2022,251,124,970690,1911.105,       28.244
2022,251,136,970690,11.577,        0.105
2022,251,144,970690,8.214,        0.040
2022,251,152,970690,146.383,       10.498
2022,251,156,970610,118.905,        0.438
2022,251,156,970690,8451.515,       17.761
2022,251,170,970690,3.25,        0.181
2022,251,191,970610,2.871,        0.007
2022,251,196,970610,121.428,        0.097
2022,251,196,970690,139.355,        0.150
2022,251,203,970610,5.689,        0.016
2022,251,203,970690,2.426,        0.013
2022,251,208,970610,55.655,        0.007
2022,251,208,970690,44.322,        0.467
2022,251,233,970610,1.761,        0.005
2022,251,233,970690,18.733,        0.053
2022,251,246,970610,1.891,        0.006
2022,251,246,970690,1.454,        0.002
2022,251,258,970690,2.593,        0.027
2022,251,276,970610,249.587,        1.851
2022,251,276,970690,1616.829,        1.244
2022,251,300,970610,3.555,        0.010
2022,251,300,970690,3.562,        0.030
2022,251,320,970610,0.232,        0.015
2022,251,320,970690,2.064,        0.018
2022,251,344,970610,19283.271,        1.716
2022,251,344,970690,26441.82,        3.878
2022,251,348,970610,29.165,        0.025
2022,251,348,970690,42.986,        0.038
2022,251,360,970610,11.606,        0.050
2022,251,360,970690,143.453,        0.222
2022,251,364,970690,1.264,        0.060
2022,251,372,970610,9.522,        0.028
2022,251,372,970690,18.266,        0.051
2022,251,376,970610,13.0,           NA
2022,251,376,970690,73.81,        0.400
2022,251,380,970610,139.696,        0.065
2022,251,380,970690,848.899,        1.620
2022,251,392,970610,20.578,        0.019
2022,251,392,970690,1899.034,        1.500
2022,251,410,970610,131.953,        0.056
2022,251,410,970690,1316.04,        1.296
2022,251,414,970610,127.747,        0.022
2022,251,414,970690,37.111,        0.534
2022,251,418,970690,3.018,        0.012
2022,251,422,970610,89.031,        0.451
2022,251,422,970690,39.918,        0.268
2022,251,440,970610,1.482,        0.006
2022,251,440,970690,52.389,        0.020
2022,251,442,970610,11.669,        0.049
2022,251,442,970690,29.68,        0.062
2022,251,446,970610,81.206,        0.004
2022,251,446,970690,469.665,        0.146
2022,251,450,970690,0.091,        0.250
2022,251,458,970610,31.048,        0.023
2022,251,458,970690,9.048,        0.111
2022,251,470,970610,0.132,        0.001
2022,251,470,970690,8.229,        0.059
2022,251,480,970690,7.198,        0.187
2022,251,484,970610,4.145,        0.020
2022,251,484,970690,24.156,        0.561
2022,251,490,970610,1.858,        0.001
2022,251,490,970690,91.298,        0.749
2022,251,496,970690,9.584,        0.010
2022,251,504,970610,447.745,        1.850
2022,251,504,970690,170.376,        0.361
2022,251,512,970610,2048.315,           NA
2022,251,516,970690,3.92,        0.004
2022,251,528,970610,170.46,        1.606
2022,251,528,970690,147.448,        0.635
2022,251,540,970690,1.0,        0.001
2022,251,554,970610,11.505,           NA
2022,251,554,970690,308.383,       12.441
2022,251,579,970610,5.779,        0.021
2022,251,579,970690,165.977,        0.959
2022,251,591,970690,6.865,        0.008
2022,251,608,970690,13.764,        0.545
2022,251,616,970610,25.925,        0.166
2022,251,616,970690,494.153,        1.238
2022,251,620,970610,17.616,        0.040
2022,251,620,970690,131.057,        3.640
2022,251,634,970610,68.448,        0.222
2022,251,634,970690,110.683,        0.393
2022,251,642,970610,6.158,        0.017
2022,251,643,970690,272.317,        0.419
2022,251,682,970610,21.061,        0.014
2022,251,682,970690,5.549,        0.059
2022,251,688,970690,2.569,        0.003
2022,251,699,970690,37.965,        0.055
2022,251,702,970610,112.242,        0.040
2022,251,702,970690,217.279,        1.147
2022,251,703,970610,10.378,        0.015
2022,251,704,970610,683.71,        0.368
2022,251,704,970690,2004.956,        2.210
2022,251,705,970610,0.276,        0.001
2022,251,710,970690,50.928,        5.109
2022,251,724,970610,227.176,       22.118
2022,251,724,970690,518.044,       25.763
2022,251,752,970610,8.146,        2.889
2022,251,752,970690,33.926,        0.011
2022,251,757,970610,15747.093,        7.304
2022,251,757,970690,31389.557,       17.412
2022,251,764,970610,10.582,        0.004
2022,251,764,970690,110.384,        0.597
2022,251,784,970610,258.982,        0.358
2022,251,784,970690,488.133,        2.632
2022,251,792,970610,27.045,        0.025
2022,251,792,970690,59.963,      160.405
2022,251,818,970690,442.959,        4.602
2022,251,826,970610,51899.473,        7.091
2022,251,826,970690,31889.77,      607.299
2022,251,842,970610,23264.356,       37.299
2022,251,842,970690,115380.564,      640.614
2022,251,858,970690,2.364,        0.040
