t,i,j,k,v,q
2022,360,36,970690,5.462,           NA
2022,360,124,970610,4.897,           NA
2022,360,124,970690,16.359,           NA
2022,360,251,970690,1.723,        0.007
2022,360,276,970690,0.973,        0.085
2022,360,344,970690,5.736,           NA
2022,360,372,970690,0.068,           NA
2022,360,528,970690,0.741,        0.038
2022,360,554,970690,0.828,           NA
2022,360,702,970690,2.037,        0.001
2022,360,752,970690,0.269,        0.005
2022,360,757,970610,87.88,        0.110
2022,360,757,970690,17.761,        0.004
2022,360,784,970690,22.848,        0.015
2022,360,826,970610,1.279,        0.006
2022,360,826,970690,33.267,        0.124
2022,360,842,970610,421.674,       40.236
2022,360,842,970690,82.461,        3.249
