t,i,j,k,v,q
2022,31,36,970690,5.413,           NA
2022,31,124,970690,27.261,           NA
2022,31,276,970690,51.32,        0.143
2022,31,392,970690,9.328,        0.030
2022,31,414,970690,345.183,           NA
2022,31,428,970690,0.179,        0.001
2022,31,702,970690,1.953,        0.006
2022,31,752,970690,0.188,        0.003
2022,31,757,970690,270.847,        0.073
2022,31,784,970690,4.648,        0.069
2022,31,826,970610,24.165,        0.012
2022,31,826,970690,101.17,        0.060
2022,31,842,970610,214.325,        0.065
2022,31,842,970690,416.0,        1.038
