t,i,j,k,v,q
2022,764,36,970690,25.56,           NA
2022,764,40,970690,22.2,        0.035
2022,764,56,970690,0.801,        0.072
2022,764,124,970610,7.955,           NA
2022,764,251,970690,18.52,        0.070
2022,764,344,970690,8.77,        0.141
2022,764,376,970610,16.26,           NA
2022,764,410,970610,0.491,        0.001
2022,764,410,970690,1.017,        0.008
2022,764,458,970690,1.522,        0.001
2022,764,528,970690,11.603,        0.191
2022,764,579,970610,0.268,        0.001
2022,764,702,970690,45.889,        0.002
2022,764,724,970690,2.254,        0.002
2022,764,757,970610,17.259,        0.030
2022,764,757,970690,0.501,        0.004
2022,764,784,970610,5.819,        0.050
2022,764,826,970610,15.825,        0.002
2022,764,826,970690,369.817,        3.352
2022,764,842,970610,55.749,        0.031
2022,764,842,970690,47.574,        1.500
