t,i,j,k,v,q
2022,376,36,970610,4.291,           NA
2022,376,36,970690,1.776,           NA
2022,376,40,970610,964.683,        0.081
2022,376,40,970690,466.357,        0.120
2022,376,56,970610,36.871,        0.079
2022,376,56,970690,28.519,        0.002
2022,376,100,970690,2.975,        0.001
2022,376,124,970690,1.0,           NA
2022,376,170,970690,2.0,           NA
2022,376,203,970690,0.615,        0.002
2022,376,246,970690,1.189,           NA
2022,376,251,970610,82.964,        0.061
2022,376,251,970690,5.734,        0.003
2022,376,276,970610,0.602,        0.001
2022,376,276,970690,5.889,        0.015
2022,376,344,970690,50.0,           NA
2022,376,348,970690,14.457,        0.008
2022,376,372,970610,29.981,        0.012
2022,376,372,970690,0.981,        0.002
2022,376,380,970690,36.719,        0.037
2022,376,392,970610,1.921,        0.004
2022,376,410,970610,3.081,        0.006
2022,376,410,970690,4.116,        0.004
2022,376,428,970690,0.5,        0.001
2022,376,440,970690,4.318,        0.003
2022,376,470,970690,1.578,        0.001
2022,376,528,970610,0.985,        0.001
2022,376,528,970690,19.58,        0.052
2022,376,616,970690,14.0,           NA
2022,376,620,970610,1.223,        0.002
2022,376,702,970690,50.844,        0.003
2022,376,710,970690,0.118,           NA
2022,376,724,970610,0.494,        0.001
2022,376,724,970690,3.706,        0.006
2022,376,752,970690,3.57,        0.058
2022,376,757,970610,1.225,        0.002
2022,376,757,970690,74.145,        0.016
2022,376,784,970690,0.873,        0.048
2022,376,792,970690,0.224,        0.001
2022,376,826,970610,42.568,        0.006
2022,376,826,970690,224.416,        1.584
2022,376,842,970610,141.036,        0.047
2022,376,842,970690,210.0,        1.135
