t,i,j,k,v,q
2022,842,24,970690,2.805,        0.001
2022,842,32,970690,764.32,        0.711
2022,842,36,970610,1185.855,       14.899
2022,842,36,970690,2294.689,        2.818
2022,842,40,970610,1269.644,        0.505
2022,842,40,970690,2404.368,        2.338
2022,842,44,970690,294.228,        0.598
2022,842,48,970690,10.702,        0.145
2022,842,51,970610,3.3,        0.001
2022,842,56,970610,889.476,        0.583
2022,842,56,970690,7051.618,       46.158
2022,842,60,970610,5.198,        0.001
2022,842,60,970690,21.182,        0.002
2022,842,64,970690,89.024,        0.050
2022,842,68,970690,0.004,           NA
2022,842,70,970690,337.845,        0.042
2022,842,100,970610,3.415,        0.005
2022,842,100,970690,1.673,        0.144
2022,842,124,970610,890.032,        0.478
2022,842,124,970690,6505.858,        3.271
2022,842,136,970610,6.93,        0.001
2022,842,136,970690,12.075,        0.015
2022,842,140,970690,66.78,        0.002
2022,842,152,970610,218.515,        0.018
2022,842,152,970690,32.948,        0.103
2022,842,156,970610,1434.922,        5.815
2022,842,156,970690,933.319,       28.877
2022,842,188,970690,8.656,        0.004
2022,842,196,970690,19.0,        0.006
2022,842,203,970610,188.192,        0.049
2022,842,203,970690,1303.193,        2.686
2022,842,208,970610,1026.102,        0.301
2022,842,208,970690,2158.777,        1.560
2022,842,214,970610,5.66,        0.113
2022,842,214,970690,12.234,        1.038
2022,842,233,970690,3.0,        0.013
2022,842,242,970690,0.545,        0.040
2022,842,246,970610,177.049,        0.002
2022,842,246,970690,16.634,        0.083
2022,842,251,970610,15200.648,        5.132
2022,842,251,970690,25072.689,       32.550
2022,842,276,970610,444.587,        0.559
2022,842,276,970690,5514.113,        4.395
2022,842,300,970610,19046.057,        0.607
2022,842,300,970690,9.993,        0.005
2022,842,320,970690,0.495,        0.874
2022,842,328,970690,3.65,        0.135
2022,842,344,970610,53934.639,        9.652
2022,842,344,970690,41211.433,        7.107
2022,842,348,970610,4.95,        0.003
2022,842,348,970690,324.952,        0.051
2022,842,352,970610,0.041,        0.001
2022,842,360,970690,2.549,        0.005
2022,842,372,970610,17.592,        0.650
2022,842,372,970690,1373.637,        5.355
2022,842,376,970610,1049.878,        0.058
2022,842,376,970690,280.442,        0.106
2022,842,380,970610,953.364,        1.530
2022,842,380,970690,2713.62,        3.586
2022,842,388,970690,0.361,        0.030
2022,842,392,970610,2334.489,        0.030
2022,842,392,970690,7620.474,        0.095
2022,842,398,970690,1.405,        0.004
2022,842,404,970690,1.795,        4.500
2022,842,410,970610,1007.219,        0.273
2022,842,410,970690,5615.495,        1.433
2022,842,414,970610,67.0,        0.100
2022,842,414,970690,93.319,        0.683
2022,842,422,970690,294.412,        0.502
2022,842,428,970690,64.58,        0.061
2022,842,440,970610,0.225,           NA
2022,842,440,970690,545.887,        0.194
2022,842,442,970610,8.311,        0.001
2022,842,442,970690,60.895,        0.222
2022,842,446,970610,65.158,        0.009
2022,842,446,970690,994.945,        0.076
2022,842,458,970610,1365.414,        0.546
2022,842,458,970690,13.955,        0.004
2022,842,462,970610,0.116,           NA
2022,842,470,970610,39.514,        0.083
2022,842,470,970690,40.126,        0.204
2022,842,484,970610,233.82,        0.003
2022,842,484,970690,266.147,        0.524
2022,842,490,970610,559.463,        0.037
2022,842,490,970690,776.152,        0.528
2022,842,504,970690,10.837,        0.002
2022,842,524,970610,525.0,        0.034
2022,842,528,970610,8241.864,        1.830
2022,842,528,970690,8390.146,        6.313
2022,842,533,970610,27.926,        0.054
2022,842,554,970610,156.009,        0.318
2022,842,554,970690,340.99,        1.593
2022,842,566,970610,44.109,        0.841
2022,842,579,970610,22.677,        0.112
2022,842,579,970690,245.219,        1.057
2022,842,591,970690,0.694,        0.002
2022,842,604,970610,20.431,        0.005
2022,842,604,970690,12.5,        0.001
2022,842,608,970690,2.805,        0.001
2022,842,616,970610,29.296,        0.061
2022,842,616,970690,414.557,        0.514
2022,842,620,970610,35.662,        0.030
2022,842,620,970690,114.782,        0.218
2022,842,634,970610,7939.824,        2.615
2022,842,634,970690,288.815,        0.044
2022,842,642,970690,16.462,        0.002
2022,842,643,970690,120.956,        0.325
2022,842,682,970610,687.45,        0.005
2022,842,682,970690,16.24,        0.011
2022,842,686,970690,1000.0,        0.001
2022,842,688,970610,5.67,        0.010
2022,842,688,970690,26.46,        0.222
2022,842,699,970610,2767.259,        0.052
2022,842,699,970690,900.743,        0.093
2022,842,702,970610,603.974,        0.055
2022,842,702,970690,1914.647,        0.767
2022,842,703,970610,3.075,        0.002
2022,842,703,970690,1.43,        0.007
2022,842,704,970610,10.0,        0.005
2022,842,705,970610,17.804,        0.002
2022,842,705,970690,21.625,        0.019
2022,842,710,970690,93.568,        0.052
2022,842,724,970610,2248.377,        0.105
2022,842,724,970690,442.344,        1.525
2022,842,752,970610,48.312,        0.044
2022,842,752,970690,1089.458,        2.300
2022,842,757,970610,9382.508,        0.954
2022,842,757,970690,29497.047,        8.763
2022,842,764,970690,134.11,        0.397
2022,842,784,970610,9261.947,        1.002
2022,842,784,970690,902.922,        0.581
2022,842,792,970610,20.21,        0.009
2022,842,792,970690,127.131,        8.659
2022,842,804,970690,3.024,        0.001
2022,842,818,970690,16.84,        0.154
2022,842,826,970610,52381.077,        9.605
2022,842,826,970690,34797.801,      127.734
2022,842,858,970690,157.8,        0.001
2022,842,860,970610,4.78,        0.067
2022,842,894,970690,5.943,        0.125
