t,i,j,k,v,q
2022,40,8,970690,1.853,        0.290
2022,40,32,970610,8.951,        0.250
2022,40,32,970690,12.742,        0.380
2022,40,36,970610,62.233,        0.088
2022,40,36,970690,154.014,        0.264
2022,40,56,970610,2.92,        0.011
2022,40,56,970690,197.571,        0.054
2022,40,76,970690,1.095,        0.005
2022,40,100,970610,0.398,        0.001
2022,40,100,970690,3.167,        0.007
2022,40,124,970610,72.395,        0.021
2022,40,124,970690,121.956,        0.364
2022,40,156,970610,233.325,        0.094
2022,40,156,970690,2884.697,       10.093
2022,40,191,970610,1.885,        0.006
2022,40,191,970690,3.247,        0.008
2022,40,196,970610,1.237,        0.004
2022,40,196,970690,1.109,        0.006
2022,40,203,970610,7.702,        0.018
2022,40,203,970690,90.681,        0.235
2022,40,208,970610,1.531,        0.001
2022,40,208,970690,0.322,        0.002
2022,40,233,970610,0.31,        0.002
2022,40,246,970610,0.2,        0.001
2022,40,246,970690,0.698,        0.001
2022,40,251,970610,125.54,        0.169
2022,40,251,970690,52.854,        0.048
2022,40,276,970610,83.202,        0.078
2022,40,276,970690,1124.168,        0.566
2022,40,300,970610,1.869,        0.005
2022,40,300,970690,3.373,        0.026
2022,40,344,970610,1143.926,        1.112
2022,40,344,970690,1809.804,        2.616
2022,40,348,970610,13.871,        0.026
2022,40,348,970690,48.01,        0.095
2022,40,372,970610,4.08,        0.011
2022,40,372,970690,3.249,        0.015
2022,40,376,970610,56.432,        0.002
2022,40,376,970690,2.5,        0.001
2022,40,380,970610,36.132,        0.045
2022,40,380,970690,218.062,        1.664
2022,40,392,970610,254.361,        0.031
2022,40,392,970690,619.165,        0.220
2022,40,398,970690,3.727,        0.006
2022,40,410,970610,1.028,        0.004
2022,40,410,970690,55.507,        0.010
2022,40,414,970690,1.954,        0.003
2022,40,422,970690,12.112,        0.009
2022,40,428,970690,2.264,        0.001
2022,40,440,970610,0.164,        0.001
2022,40,442,970610,0.269,        0.001
2022,40,442,970690,95.564,        0.010
2022,40,446,970690,21.821,        0.006
2022,40,458,970690,49.131,        0.073
2022,40,470,970690,20.073,        0.001
2022,40,484,970690,0.842,        0.001
2022,40,490,970610,231.12,        0.066
2022,40,490,970690,311.002,        0.323
2022,40,496,970690,1.232,        0.002
2022,40,512,970690,5.529,        0.004
2022,40,516,970690,5.629,        0.005
2022,40,528,970610,13.628,        0.022
2022,40,528,970690,386.957,        0.211
2022,40,554,970690,16.995,        0.012
2022,40,579,970610,0.776,        0.009
2022,40,579,970690,7.835,        0.033
2022,40,616,970610,5.542,        0.020
2022,40,616,970690,37.997,        0.062
2022,40,620,970610,3.874,        0.011
2022,40,620,970690,0.687,        0.004
2022,40,634,970690,4.537,        0.002
2022,40,642,970610,2.847,        0.011
2022,40,642,970690,3.016,        0.010
2022,40,643,970610,8.62,        0.006
2022,40,699,970610,34.536,        0.095
2022,40,699,970690,8.557,        0.005
2022,40,702,970690,87.199,        0.050
2022,40,703,970610,1.873,        0.008
2022,40,703,970690,26.158,        0.024
2022,40,704,970690,0.932,        0.041
2022,40,705,970610,3.686,        0.004
2022,40,705,970690,5.283,        0.014
2022,40,710,970690,0.55,        0.012
2022,40,724,970610,6.31,        0.018
2022,40,724,970690,4.355,        0.006
2022,40,752,970610,0.805,        0.003
2022,40,752,970690,5.963,        0.013
2022,40,757,970610,444.043,        0.719
2022,40,757,970690,987.399,        2.452
2022,40,764,970690,3.251,        0.009
2022,40,784,970690,6.853,        0.045
2022,40,792,970610,4.16,        0.001
2022,40,792,970690,0.309,        0.006
2022,40,826,970610,828.397,        0.351
2022,40,826,970690,2741.771,        2.964
2022,40,842,970610,1571.229,        4.307
2022,40,842,970690,3206.092,       16.915
