t,i,j,k,v,q
2022,36,40,970690,167.822,        0.037
2022,36,56,970690,4.729,        0.110
2022,36,124,970690,21.881,           NA
2022,36,156,970690,6.5,        1.300
2022,36,196,970690,1.323,        0.001
2022,36,203,970690,0.864,        0.006
2022,36,208,970690,0.139,        0.004
2022,36,246,970610,8.567,        0.002
2022,36,251,970690,43.65,        0.064
2022,36,276,970610,2.984,        0.002
2022,36,276,970690,6.983,        0.029
2022,36,344,970690,155.754,           NA
2022,36,348,970690,2.372,        0.208
2022,36,372,970610,11.188,        0.004
2022,36,372,970690,1.882,        0.004
2022,36,380,970610,6.303,        0.014
2022,36,380,970690,10.094,        0.028
2022,36,392,970690,27.995,        0.003
2022,36,410,970690,2.743,        0.049
2022,36,440,970690,1.283,        0.004
2022,36,470,970690,10.344,        0.021
2022,36,490,970690,4.571,           NA
2022,36,528,970610,1.391,        0.022
2022,36,528,970690,7.23,        0.056
2022,36,554,970610,22.597,           NA
2022,36,554,970690,198.198,           NA
2022,36,699,970690,2.514,           NA
2022,36,702,970690,1.199,        0.001
2022,36,724,970690,28.504,        0.136
2022,36,752,970690,0.617,        0.011
2022,36,757,970610,1.732,        0.003
2022,36,757,970690,0.829,        0.005
2022,36,826,970610,519.759,        0.988
2022,36,826,970690,181.025,        0.133
2022,36,842,970610,46.462,        0.049
2022,36,842,970690,1032.204,        2.612
