t,i,j,k,v,q
2022,757,36,970610,15.053,        0.004
2022,757,36,970690,81.242,        0.152
2022,757,40,970610,1599.857,        0.560
2022,757,40,970690,1111.925,        2.645
2022,757,56,970610,339.027,        0.825
2022,757,56,970690,294.354,        0.726
2022,757,92,970610,181.102,        0.001
2022,757,92,970690,539.955,        0.330
2022,757,124,970610,9.072,        0.002
2022,757,124,970690,28.978,        0.169
2022,757,156,970610,69.533,        0.100
2022,757,156,970690,333.092,        2.146
2022,757,180,970690,1.591,        0.003
2022,757,196,970610,105.305,        0.080
2022,757,196,970690,9.347,        0.053
2022,757,203,970610,5.976,        0.002
2022,757,203,970690,543.92,        0.718
2022,757,208,970610,39.021,        0.008
2022,757,208,970690,15.602,        0.075
2022,757,233,970690,17.567,        0.007
2022,757,246,970690,0.727,        0.005
2022,757,251,970610,1255.047,        1.537
2022,757,251,970690,14820.191,       16.193
2022,757,276,970610,2395.056,        2.257
2022,757,276,970690,6839.385,       17.281
2022,757,344,970610,1562.333,        0.147
2022,757,344,970690,9260.027,        1.905
2022,757,348,970610,0.837,        0.002
2022,757,348,970690,124.178,        0.342
2022,757,364,970690,6.633,        0.030
2022,757,372,970610,524.762,        0.306
2022,757,372,970690,3.031,        0.018
2022,757,376,970610,17.0,           NA
2022,757,376,970690,3.912,        0.005
2022,757,380,970610,382.651,        0.808
2022,757,380,970690,537.179,        0.815
2022,757,392,970610,34.023,        0.014
2022,757,392,970690,2737.144,        0.407
2022,757,410,970690,250.545,        0.015
2022,757,414,970610,1.164,        0.002
2022,757,414,970690,8.677,        0.013
2022,757,422,970690,22.085,        0.068
2022,757,428,970610,0.212,           NA
2022,757,428,970690,16.872,        0.003
2022,757,440,970610,0.615,        0.002
2022,757,440,970690,0.381,        0.001
2022,757,442,970690,6.344,        0.013
2022,757,446,970610,38.83,        0.004
2022,757,446,970690,254.384,        0.117
2022,757,458,970690,12.043,        0.004
2022,757,470,970610,0.609,        0.001
2022,757,470,970690,2.515,        0.003
2022,757,484,970610,1.652,        0.043
2022,757,484,970690,4.091,        0.038
2022,757,490,970690,459.173,        0.047
2022,757,504,970690,0.283,        0.001
2022,757,528,970610,31.109,        0.030
2022,757,528,970690,202.683,        0.101
2022,757,554,970690,6.161,        0.008
2022,757,579,970610,0.78,        0.001
2022,757,579,970690,7.068,        0.026
2022,757,616,970690,4.566,        0.152
2022,757,620,970690,3.2,        0.006
2022,757,634,970690,2506.964,        1.546
2022,757,642,970690,3.217,        0.012
2022,757,643,970690,0.93,        0.007
2022,757,682,970690,574.249,        0.354
2022,757,699,970690,6.337,        0.096
2022,757,702,970690,2531.544,        0.045
2022,757,705,970690,2.145,        0.001
2022,757,710,970690,0.896,        0.541
2022,757,724,970610,529.643,        0.065
2022,757,724,970690,33.908,        0.079
2022,757,752,970610,52.896,           NA
2022,757,752,970690,67.919,        0.366
2022,757,764,970690,9.44,        0.070
2022,757,784,970610,1999.931,        0.139
2022,757,784,970690,3348.489,        1.239
2022,757,792,970610,711.351,        0.015
2022,757,792,970690,4.818,        0.004
2022,757,804,970690,6.44,        0.004
2022,757,826,970610,6262.552,        1.290
2022,757,826,970690,12587.639,        2.972
2022,757,842,970610,1355.776,        2.203
2022,757,842,970690,36498.194,       50.963
