t,i,j,k,v,q
2022,528,36,970610,19.09,        0.025
2022,528,36,970690,202.219,        6.792
2022,528,40,970610,0.661,        0.002
2022,528,40,970690,313.713,        3.820
2022,528,56,970610,0.045,           NA
2022,528,56,970690,2009.308,        3.197
2022,528,76,970610,4.212,        0.001
2022,528,100,970610,0.003,           NA
2022,528,100,970690,25.813,       10.059
2022,528,124,970610,159.548,        0.066
2022,528,124,970690,125.055,        1.688
2022,528,152,970690,0.606,        0.001
2022,528,156,970610,4.908,        0.009
2022,528,156,970690,145.025,        0.220
2022,528,191,970610,0.002,           NA
2022,528,191,970690,5.096,        2.036
2022,528,196,970610,0.001,           NA
2022,528,196,970690,44.011,       17.765
2022,528,203,970610,0.009,           NA
2022,528,203,970690,43.27,       17.469
2022,528,208,970610,0.016,           NA
2022,528,208,970690,12.148,        3.223
2022,528,233,970610,0.002,           NA
2022,528,233,970690,448.136,        2.014
2022,528,246,970610,0.009,           NA
2022,528,246,970690,82.12,       28.513
2022,528,251,970610,11.88,        0.030
2022,528,251,970690,94.63,        0.530
2022,528,276,970610,9.483,        0.619
2022,528,276,970690,152.297,        4.496
2022,528,300,970610,0.003,           NA
2022,528,300,970690,25.231,       10.562
2022,528,344,970610,3658.317,        0.042
2022,528,344,970690,129.331,        0.278
2022,528,348,970610,0.007,           NA
2022,528,348,970690,61.75,       18.454
2022,528,352,970690,24.456,        3.020
2022,528,360,970690,112.884,       14.001
2022,528,372,970610,0.015,           NA
2022,528,372,970690,44.909,       47.663
2022,528,376,970610,9.846,           NA
2022,528,376,970690,5.271,        0.008
2022,528,380,970610,5.235,        0.010
2022,528,380,970690,512.807,       80.327
2022,528,392,970610,11.768,        0.011
2022,528,392,970690,10.791,        0.007
2022,528,410,970610,13.358,        0.025
2022,528,410,970690,12.769,        0.031
2022,528,428,970690,29.181,        5.138
2022,528,440,970610,0.003,           NA
2022,528,440,970690,12.331,        1.395
2022,528,442,970610,0.076,        0.001
2022,528,442,970690,66.397,       18.228
2022,528,458,970610,1.264,        0.009
2022,528,458,970690,8.078,        0.001
2022,528,470,970610,0.001,           NA
2022,528,470,970690,51.18,       13.923
2022,528,484,970690,1.464,        0.014
2022,528,490,970610,57.404,        0.035
2022,528,490,970690,40.061,        0.298
2022,528,499,970690,5.095,        0.022
2022,528,554,970610,6.287,           NA
2022,528,554,970690,0.95,           NA
2022,528,579,970610,7.717,        0.017
2022,528,579,970690,95.563,        1.704
2022,528,591,970610,21.482,        0.120
2022,528,604,970690,1.738,        0.026
2022,528,616,970610,0.032,           NA
2022,528,616,970690,77.726,       33.612
2022,528,620,970610,0.003,           NA
2022,528,620,970690,53.173,       19.846
2022,528,634,970690,30.128,        0.025
2022,528,642,970610,0.005,           NA
2022,528,642,970690,45.907,       18.999
2022,528,682,970610,4.433,        0.001
2022,528,682,970690,6.318,        0.010
2022,528,702,970610,7.396,        0.003
2022,528,702,970690,66.803,        0.063
2022,528,703,970610,0.002,           NA
2022,528,703,970690,15.724,        5.793
2022,528,705,970610,0.001,           NA
2022,528,705,970690,34.622,       12.713
2022,528,710,970610,18.085,        3.367
2022,528,710,970690,64.72,       10.665
2022,528,724,970610,1.143,        0.335
2022,528,724,970690,53.421,        6.081
2022,528,752,970610,0.018,           NA
2022,528,752,970690,356.911,      139.843
2022,528,757,970610,550.019,        0.677
2022,528,757,970690,311.72,        3.152
2022,528,764,970690,2.427,        0.011
2022,528,784,970610,13.651,        0.442
2022,528,784,970690,18.125,        0.084
2022,528,792,970610,1.55,        0.003
2022,528,792,970690,12.656,        2.322
2022,528,826,970610,1003.099,        3.918
2022,528,826,970690,3747.155,       33.437
2022,528,842,970610,7588.189,       19.054
2022,528,842,970690,7652.701,      208.840
