t,i,j,k,v,q
2022,818,36,970610,43.596,           NA
2022,818,156,970610,223.188,        0.046
2022,818,276,970610,66.271,        0.082
2022,818,372,970610,84.526,        0.023
2022,818,392,970610,446.459,        0.030
2022,818,410,970610,339.785,        0.006
2022,818,458,970610,109.548,        0.002
2022,818,724,970610,16.845,        0.081
2022,818,757,970610,132.205,        0.047
2022,818,784,970610,1122.697,        0.168
2022,818,792,970610,0.296,        0.001
2022,818,826,970610,1096.95,        0.198
2022,818,842,970610,7889.755,       74.460
