t,i,j,k,v,q
2022,380,36,970610,65.189,        0.050
2022,380,40,970610,21.644,        0.012
2022,380,56,970610,3.539,        0.009
2022,380,100,970610,0.262,        0.001
2022,380,124,970610,1.923,        0.003
2022,380,152,970610,2.669,        0.045
2022,380,156,970610,0.823,        0.005
2022,380,191,970610,0.576,        0.002
2022,380,196,970610,0.239,        0.001
2022,380,203,970610,51.966,        0.052
2022,380,208,970610,2.62,        0.005
2022,380,246,970610,3.157,        0.002
2022,380,251,970610,1097.358,        1.287
2022,380,276,970610,118.706,        1.210
2022,380,300,970610,2.411,        0.006
2022,380,344,970610,19.592,        0.030
2022,380,348,970610,0.774,        0.002
2022,380,372,970610,55.047,        0.117
2022,380,376,970610,1.158,        0.002
2022,380,392,970610,8.897,        0.005
2022,380,410,970610,1049.979,        0.052
2022,380,414,970610,5.691,        0.065
2022,380,440,970610,20.584,        0.004
2022,380,442,970610,0.131,        0.001
2022,380,470,970610,2.335,        0.015
2022,380,528,970610,8.888,        0.008
2022,380,579,970610,3.708,        0.016
2022,380,616,970610,211.941,        0.005
2022,380,620,970610,1.943,        0.005
2022,380,642,970610,1.299,        0.003
2022,380,699,970610,92.756,        0.400
2022,380,703,970610,0.487,        0.002
2022,380,704,970610,17.628,        0.020
2022,380,705,970610,0.262,        0.001
2022,380,710,970610,2.749,        0.028
2022,380,724,970610,60.687,        0.054
2022,380,752,970610,0.197,        0.001
2022,380,757,970610,960.975,        0.548
2022,380,784,970610,10.873,        0.003
2022,380,826,970610,4518.752,        1.717
2022,380,842,970610,5906.969,        2.722
