t,i,j,k,v,q
2022,364,36,970610,5.261,           NA
2022,364,36,970690,39.906,           NA
2022,364,124,970610,0.34,           NA
2022,364,124,970690,289.196,           NA
2022,364,276,970610,0.08,        0.001
2022,364,276,970690,6.421,        0.044
2022,364,380,970610,15.392,        0.059
2022,364,392,970690,3.098,        0.016
2022,364,414,970690,74.941,           NA
2022,364,458,970610,685.821,        0.013
2022,364,458,970690,2323.203,        0.002
2022,364,579,970690,9.428,        0.027
2022,364,620,970690,0.478,        0.010
2022,364,702,970690,0.509,        0.003
2022,364,724,970610,0.645,        0.001
2022,364,724,970690,17.175,        0.042
2022,364,757,970610,64.856,        0.008
2022,364,757,970690,2.786,        0.006
2022,364,784,970610,5918.873,        0.142
2022,364,784,970690,299.578,        0.115
2022,364,826,970610,601.277,        0.592
2022,364,826,970690,177.343,        3.901
2022,364,842,970610,4495.937,        0.039
