t,i,j,k,v,q
2022,704,124,970610,14.773,           NA
2022,704,124,970690,0.305,           NA
2022,704,203,970610,0.302,        0.002
2022,704,251,970690,0.056,           NA
2022,704,276,970610,17.43,        0.114
2022,704,372,970610,1.507,        0.001
2022,704,410,970610,2.179,        0.003
2022,704,702,970690,2.461,        0.001
2022,704,724,970610,6.58,        0.223
2022,704,757,970690,6.613,        0.002
2022,704,826,970610,1.185,        0.002
2022,704,826,970690,9.792,        0.054
2022,704,842,970610,73.242,        0.020
2022,704,842,970690,189.54,        0.268
