t,i,j,k,v,q
2022,784,36,970690,215.583,           NA
2022,784,40,970610,177.739,        0.426
2022,784,40,970690,0.53,        0.001
2022,784,148,970690,2.451,        0.003
2022,784,180,970690,0.251,        0.670
2022,784,196,970610,2.918,        0.002
2022,784,222,970690,1.198,        0.094
2022,784,251,970610,0.004,           NA
2022,784,251,970690,36.032,        0.220
2022,784,276,970610,3.33,        0.002
2022,784,380,970690,319.085,        0.208
2022,784,392,970610,32.282,        0.002
2022,784,392,970690,0.368,        0.028
2022,784,398,970690,126.603,        0.232
2022,784,404,970690,0.216,        4.500
2022,784,414,970610,1.483,        0.047
2022,784,414,970690,20.112,        0.112
2022,784,430,970690,2.0,        0.010
2022,784,440,970690,5.272,        0.001
2022,784,462,970690,5.309,        0.037
2022,784,466,970690,2.0,        0.025
2022,784,504,970690,1.37,        0.008
2022,784,512,970610,4.762,           NA
2022,784,512,970690,12.559,           NA
2022,784,528,970690,11065.868,        4.014
2022,784,634,970690,8.785,        0.603
2022,784,643,970690,1194.954,        0.465
2022,784,682,970690,113.825,        0.421
2022,784,699,970610,0.029,        0.002
2022,784,699,970690,0.342,        0.012
2022,784,740,970690,0.272,        0.044
2022,784,757,970610,0.064,           NA
2022,784,757,970690,184.626,        0.102
2022,784,764,970690,0.272,        0.003
2022,784,807,970690,0.261,        0.139
2022,784,818,970690,202.069,        0.362
2022,784,826,970610,271.03,        0.008
2022,784,826,970690,161.547,        0.020
2022,784,842,970690,124.176,        0.011
