t,i,j,k,v,q
2022,32,251,970610,3.313,        0.002
2022,40,251,970610,125.54,        0.169
2022,56,251,970610,506.858,        0.711
2022,76,251,970610,878.372,        0.021
2022,124,251,970610,7.324,        0.004
2022,152,251,970610,12.748,        0.072
2022,156,251,970610,5.665,        0.009
2022,203,251,970610,1.868,        0.007
2022,208,251,970610,7.086,        0.044
2022,246,251,970610,51.171,        2.420
2022,276,251,970610,286.591,        1.963
2022,344,251,970610,366.072,        0.088
2022,348,251,970610,10.558,        0.032
2022,372,251,970610,0.202,        0.001
2022,376,251,970610,82.964,        0.061
2022,380,251,970610,1097.358,        1.287
2022,392,251,970610,263.104,        0.132
2022,404,251,970610,6.606,        0.004
2022,410,251,970610,0.595,        0.016
2022,442,251,970610,0.194,        0.002
2022,504,251,970610,26.485,        0.052
2022,528,251,970610,11.88,        0.030
2022,579,251,970610,5.956,        0.006
2022,616,251,970610,3.485,        0.151
2022,699,251,970610,0.017,           NA
2022,710,251,970610,7.596,        0.001
2022,724,251,970610,100.873,        0.560
2022,752,251,970610,6.883,        0.010
2022,757,251,970610,1255.047,        1.537
2022,784,251,970610,0.004,           NA
2022,792,251,970610,4.026,        0.008
2022,826,251,970610,35958.284,       10.195
2022,842,251,970610,15200.648,        5.132
