t,i,j,k,v,q
2022,40,124,970610,72.395,        0.021
2022,56,124,970610,39.857,        0.158
2022,76,124,970610,4.719,           NA
2022,116,124,970610,4.473,           NA
2022,156,124,970610,1272.767,           NA
2022,208,124,970610,22.132,           NA
2022,231,124,970610,0.091,           NA
2022,251,124,970610,138.07,        0.092
2022,276,124,970610,151.304,        0.164
2022,300,124,970610,52.468,           NA
2022,344,124,970610,0.15,           NA
2022,360,124,970610,4.897,           NA
2022,364,124,970610,0.34,           NA
2022,380,124,970610,1.923,        0.003
2022,392,124,970610,54.154,           NA
2022,418,124,970610,0.72,           NA
2022,450,124,970610,0.41,           NA
2022,470,124,970610,7.87,        0.010
2022,484,124,970610,1.411,           NA
2022,504,124,970610,15.838,           NA
2022,528,124,970610,159.548,        0.066
2022,586,124,970610,10.534,           NA
2022,604,124,970610,6.419,           NA
2022,620,124,970610,3.877,           NA
2022,643,124,970610,3.425,           NA
2022,699,124,970610,0.066,           NA
2022,704,124,970610,14.773,           NA
2022,710,124,970610,0.895,           NA
2022,724,124,970610,10.775,        0.186
2022,757,124,970610,9.072,        0.002
2022,764,124,970610,7.955,           NA
2022,792,124,970610,22.157,           NA
2022,826,124,970610,1067.048,        2.672
2022,842,124,970610,890.032,        0.478
2022,862,124,970610,0.22,           NA
