t,i,j,k,v,q
2022,36,380,970610,6.303,        0.014
2022,40,380,970610,36.132,        0.045
2022,56,380,970610,80.096,        0.001
2022,124,380,970610,1.02,        0.004
2022,156,380,970610,33.887,        0.030
2022,203,380,970610,0.657,        0.001
2022,251,380,970610,139.696,        0.065
2022,276,380,970610,20.605,        0.023
2022,344,380,970610,19.173,           NA
2022,364,380,970610,15.392,        0.059
2022,392,380,970610,118.13,        0.079
2022,442,380,970610,33.487,        0.002
2022,528,380,970610,5.235,        0.010
2022,710,380,970610,8.538,        0.004
2022,724,380,970610,0.202,        0.001
2022,757,380,970610,382.651,        0.808
2022,792,380,970610,2.175,        0.032
2022,826,380,970610,2277.597,        2.723
2022,842,380,970610,953.364,        1.530
