t,i,j,k,v,q
2022,56,784,970610,0.65,        0.001
2022,156,784,970610,1339.808,        0.192
2022,208,784,970610,6.009,        0.013
2022,251,784,970610,258.982,        0.358
2022,276,784,970610,1574.85,        0.076
2022,364,784,970610,5918.873,        0.142
2022,368,784,970610,2299.164,        0.040
2022,380,784,970610,10.873,        0.003
2022,392,784,970610,19.645,        0.032
2022,400,784,970610,0.112,        0.020
2022,512,784,970610,91.938,           NA
2022,528,784,970610,13.651,        0.442
2022,643,784,970610,13.323,        0.002
2022,699,784,970610,345.243,        0.090
2022,724,784,970610,126.366,        0.500
2022,757,784,970610,1999.931,        0.139
2022,764,784,970610,5.819,        0.050
2022,792,784,970610,161.118,        0.050
2022,818,784,970610,1122.697,        0.168
2022,826,784,970610,3951.034,        1.902
2022,842,784,970610,9261.947,        1.002
