t,i,j,k,v,q
2022,56,40,970610,3.159,        0.002
2022,124,40,970610,6.531,           NA
2022,156,40,970610,0.275,           NA
2022,203,40,970610,0.819,        0.001
2022,251,40,970610,137.879,        0.080
2022,276,40,970610,312.707,        0.296
2022,344,40,970610,6.209,        0.002
2022,348,40,970610,0.521,        0.002
2022,376,40,970610,964.683,        0.081
2022,380,40,970610,21.644,        0.012
2022,392,40,970610,7.851,        0.007
2022,528,40,970610,0.661,        0.002
2022,579,40,970610,1.797,        0.010
2022,616,40,970610,1.617,        0.002
2022,703,40,970610,0.167,        0.001
2022,724,40,970610,0.236,        0.001
2022,757,40,970610,1599.857,        0.560
2022,784,40,970610,177.739,        0.426
2022,826,40,970610,2445.964,        1.272
2022,842,40,970610,1269.644,        0.505
