t,i,j,k,v,q
2022,4,372,970610,36.632,        0.015
2022,36,372,970610,11.188,        0.004
2022,40,372,970610,4.08,        0.011
2022,124,372,970610,0.377,           NA
2022,156,372,970610,196.718,        0.093
2022,251,372,970610,9.522,        0.028
2022,276,372,970610,8.324,        0.017
2022,376,372,970610,29.981,        0.012
2022,380,372,970610,55.047,        0.117
2022,388,372,970610,18.696,        0.006
2022,392,372,970610,15.539,        0.005
2022,410,372,970610,0.107,           NA
2022,528,372,970610,0.015,           NA
2022,586,372,970610,4.719,        0.002
2022,704,372,970610,1.507,        0.001
2022,724,372,970610,1.421,        0.001
2022,757,372,970610,524.762,        0.306
2022,795,372,970610,11.267,        0.005
2022,818,372,970610,84.526,        0.023
2022,826,372,970610,284.01,        0.809
2022,842,372,970610,17.592,        0.650
