t,i,j,k,v,q
2022,4,276,970610,1.759,        0.003
2022,36,276,970610,2.984,        0.002
2022,40,276,970610,83.202,        0.078
2022,56,276,970610,129.552,        0.112
2022,68,276,970610,3.637,        0.002
2022,124,276,970610,0.769,        0.002
2022,144,276,970610,0.032,        0.003
2022,156,276,970610,55.571,        0.171
2022,203,276,970610,9.791,        0.022
2022,251,276,970610,249.587,        1.851
2022,300,276,970610,3.794,        0.004
2022,348,276,970610,70.089,        0.005
2022,364,276,970610,0.08,        0.001
2022,368,276,970610,1.903,        0.003
2022,376,276,970610,0.602,        0.001
2022,380,276,970610,118.706,        1.210
2022,392,276,970610,150.655,        0.101
2022,410,276,970610,0.174,        0.003
2022,434,276,970610,0.701,        0.001
2022,484,276,970610,2.272,        0.001
2022,528,276,970610,9.483,        0.619
2022,579,276,970610,8.094,        0.009
2022,586,276,970610,0.409,        0.001
2022,604,276,970610,2.481,        0.001
2022,620,276,970610,8.893,        0.033
2022,642,276,970610,2.265,        0.010
2022,643,276,970610,33.688,        0.061
2022,688,276,970610,0.076,        0.002
2022,699,276,970610,17.61,        0.006
2022,704,276,970610,17.43,        0.114
2022,724,276,970610,19.918,        0.079
2022,757,276,970610,2395.056,        2.257
2022,784,276,970610,3.33,        0.002
2022,792,276,970610,165.045,        0.062
2022,818,276,970610,66.271,        0.082
2022,826,276,970610,5600.728,        3.185
2022,842,276,970610,444.587,        0.559
