t,i,j,k,v,q
2022,40,208,970610,1.531,        0.001
2022,124,208,970610,0.187,        0.003
2022,203,208,970610,0.214,           NA
2022,251,208,970610,55.655,        0.007
2022,276,208,970610,8.116,        0.024
2022,380,208,970610,2.62,        0.005
2022,392,208,970610,0.398,        0.004
2022,410,208,970610,1.838,        0.050
2022,528,208,970610,0.016,           NA
2022,579,208,970610,7.029,        0.151
2022,757,208,970610,39.021,        0.008
2022,826,208,970610,533.287,        0.478
2022,842,208,970610,1026.102,        0.301
