t,i,j,k,v,q
2022,4,826,970610,33.359,        0.034
2022,31,826,970610,24.165,        0.012
2022,36,826,970610,519.759,        0.988
2022,40,826,970610,828.397,        0.351
2022,48,826,970610,3.817,        0.001
2022,51,826,970610,362.431,        0.001
2022,56,826,970610,2275.506,        1.809
2022,76,826,970610,3.985,        0.204
2022,124,826,970610,396.453,        0.412
2022,156,826,970610,2289.497,        1.631
2022,196,826,970610,0.011,        0.001
2022,203,826,970610,81.354,        0.005
2022,208,826,970610,9156.815,        0.178
2022,233,826,970610,12.874,        0.006
2022,251,826,970610,51899.473,        7.091
2022,276,826,970610,3798.325,        1.565
2022,300,826,970610,922.659,        0.276
2022,344,826,970610,1058.014,        0.333
2022,348,826,970610,10.267,        0.001
2022,360,826,970610,1.279,        0.006
2022,364,826,970610,601.277,        0.592
2022,368,826,970610,6.749,        0.009
2022,372,826,970610,106.524,        1.002
2022,376,826,970610,42.568,        0.006
2022,380,826,970610,4518.752,        1.717
2022,392,826,970610,454.767,        0.664
2022,410,826,970610,26.725,        0.008
2022,422,826,970610,6.048,        0.146
2022,466,826,970610,1.322,        0.001
2022,470,826,970610,69.41,        0.018
2022,490,826,970610,19.389,      110.004
2022,504,826,970610,527.484,        0.005
2022,516,826,970610,6.751,        0.001
2022,524,826,970610,171.202,        0.203
2022,528,826,970610,1003.099,        3.918
2022,554,826,970610,14.062,           NA
2022,579,826,970610,105.696,        0.001
2022,586,826,970610,16.442,        0.016
2022,608,826,970610,19.42,        0.002
2022,616,826,970610,1.998,        0.001
2022,620,826,970610,248.425,        0.025
2022,643,826,970610,250.853,        0.064
2022,682,826,970610,354.341,        0.074
2022,699,826,970610,2009.006,        0.550
2022,702,826,970610,19.34,        0.006
2022,704,826,970610,1.185,        0.002
2022,710,826,970610,1.863,        0.113
2022,724,826,970610,682.836,        0.547
2022,740,826,970610,22.433,        0.003
2022,752,826,970610,154.329,        0.440
2022,757,826,970610,6262.552,        1.290
2022,760,826,970610,14.516,        0.135
2022,762,826,970610,45.193,        0.024
2022,764,826,970610,15.825,        0.002
2022,784,826,970610,271.03,        0.008
2022,792,826,970610,832.606,        0.371
2022,795,826,970610,23.926,        0.001
2022,804,826,970610,2.703,        0.001
2022,818,826,970610,1096.95,        0.198
2022,842,826,970610,52381.077,        9.605
2022,858,826,970610,1.897,        0.001
2022,860,826,970610,34.315,        0.016
2022,887,826,970610,257.968,        0.025
