t,i,j,k,v,q
2022,40,490,970610,231.12,        0.066
2022,56,490,970610,3.218,        0.004
2022,156,490,970610,10.103,        0.010
2022,251,490,970610,1.858,        0.001
2022,276,490,970610,287.24,        0.478
2022,344,490,970610,35600.198,           NA
2022,372,490,970610,1.158,           NA
2022,528,490,970610,57.404,        0.035
2022,724,490,970610,22.49,        0.102
2022,752,490,970610,0.395,        0.002
2022,826,490,970610,700.755,        0.928
2022,842,490,970610,559.463,        0.037
