t,i,j,k,v,q
2022,56,702,970610,9114.774,        0.028
2022,76,702,970610,0.058,        0.006
2022,104,702,970610,64.821,        0.066
2022,156,702,970610,272.753,        0.704
2022,208,702,970610,1.198,        0.001
2022,251,702,970610,112.242,        0.040
2022,276,702,970610,8.038,        0.126
2022,344,702,970610,3.219,        0.001
2022,372,702,970610,6.726,        0.001
2022,392,702,970610,29.42,        0.012
2022,484,702,970610,6.453,        0.001
2022,528,702,970610,7.396,        0.003
2022,620,702,970610,138.315,        0.004
2022,699,702,970610,43.14,        4.645
2022,724,702,970610,2.633,           NA
2022,826,702,970610,636.868,        1.852
2022,842,702,970610,603.974,        0.055
