t,i,j,k,v,q
2022,40,36,970610,62.233,        0.088
2022,56,36,970610,146.088,        0.086
2022,76,36,970610,12.121,           NA
2022,152,36,970610,11.831,           NA
2022,156,36,970610,1584.708,           NA
2022,191,36,970610,34.102,           NA
2022,208,36,970610,5.468,        0.010
2022,251,36,970610,425.822,        0.319
2022,276,36,970610,185.8,        0.179
2022,300,36,970610,375.503,           NA
2022,344,36,970610,13.765,           NA
2022,364,36,970610,5.261,           NA
2022,372,36,970610,182.061,        0.001
2022,376,36,970610,4.291,           NA
2022,380,36,970610,65.189,        0.050
2022,392,36,970610,374.264,        0.027
2022,410,36,970610,0.636,        0.004
2022,434,36,970610,10.622,           NA
2022,528,36,970610,19.09,        0.025
2022,554,36,970610,66.815,           NA
2022,604,36,970610,1.137,           NA
2022,620,36,970610,0.909,           NA
2022,688,36,970610,93.036,           NA
2022,699,36,970610,8.848,           NA
2022,724,36,970610,67.05,        0.061
2022,752,36,970610,3.065,        0.017
2022,757,36,970610,15.053,        0.004
2022,792,36,970610,5.796,           NA
2022,818,36,970610,43.596,           NA
2022,826,36,970610,2783.47,        6.963
2022,842,36,970610,1185.855,       14.899
