t,i,j,k,v,q
2022,40,156,970610,233.325,        0.094
2022,56,156,970610,1.363,        0.002
2022,124,156,970610,22.358,           NA
2022,208,156,970610,121.487,        0.070
2022,251,156,970610,118.905,        0.438
2022,276,156,970610,309.702,        0.114
2022,344,156,970610,1049.899,           NA
2022,372,156,970610,1.738,           NA
2022,380,156,970610,0.823,        0.005
2022,392,156,970610,258.857,        0.167
2022,410,156,970610,3.452,        0.005
2022,528,156,970610,4.908,        0.009
2022,620,156,970610,16.019,        0.009
2022,643,156,970610,30.088,        0.545
2022,724,156,970610,2.799,        0.001
2022,752,156,970610,4.153,        0.023
2022,757,156,970610,69.533,        0.100
2022,792,156,970610,45.689,        0.010
2022,818,156,970610,223.188,        0.046
2022,826,156,970610,593.199,        0.735
2022,842,156,970610,1434.922,        5.815
